timestamp__ms,state_and_upcounter,temp__cc,pressure__kpa,accel_x__m_s2,accel_y__m_s2,accel_z__m_s2,gyro_x__dps,gyro_y__dps,gyro_z__dps,e_alt__m,e_vel__m_s,e_acc__m_s2,e_bias,innovation0,innovation1,r1c1,r1c2,r1c3,r2c1,r2c2,r2c3,r3c1,r3c2,r3c3,effort
10329,0,2919,91.25599670410156,6.824329853057861,7.154539108276367,-0.023927999660372734,-0.0024429999757558107,0.00977300014346838,0.02932099997997284,-0.05726010724902153,-0.13381801545619965,-0.11691869050264359,0.0929906889796257,-0.140594482421875,0.009570995345711708,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10339,0,2918,91.25700378417969,6.814757823944092,7.154539108276367,-0.02871299907565117,0.0,0.00977300014346838,0.02932099997997284,0.0131148062646389,0.020213976502418518,0.01408667117357254,-0.04279966279864311,0.2078961282968521,-0.0047849975526332855,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10349,0,2919,91.26100158691406,6.853043079376221,7.202395915985107,-0.043069999665021896,0.0,0.00977300014346838,0.026877999305725098,-0.06834008544683456,-0.15635408461093903,-0.1548769176006317,0.11180691421031952,-0.23670631647109985,-0.014357008039951324,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10359,0,2918,91.25399780273438,6.805187225341797,7.240681171417236,-0.043069999665021896,0.0,0.007329999934881926,0.012217000126838684,-0.02004270814359188,-0.049986109137535095,-0.06045745313167572,0.017387453466653824,0.14455735683441162,3.725290298461914e-09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10369,0,2918,91.25499725341797,6.781259059906006,7.250251770019531,-0.03349899873137474,-0.0024429999757558107,0.00977300014346838,0.0048859999515116215,-0.039208874106407166,-0.09097838401794434,-0.08622357994318008,0.052724581211805344,-0.054100401699543,0.009571000933647156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10379,0,2919,91.25499725341797,6.75254487991333,7.245466232299805,-0.02871299907565117,-0.0024429999757558107,0.00977300014346838,-0.0024429999757558107,0.051013536751270294,0.10538055747747421,0.0911165177822113,-0.11982951313257217,0.26418301463127136,0.004785999655723572,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10389,0,2918,91.26100158691406,6.771687030792236,7.255037784576416,-0.02871299907565117,-0.0024429999757558107,0.00977300014346838,-0.007329999934881926,-0.06872712075710297,-0.15511971712112427,-0.1375998705625534,0.10888686776161194,-0.3501676023006439,-3.725290298461914e-09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10399,0,2918,91.25499725341797,6.709474086761475,7.221538066864014,-0.023927999660372734,-0.0024429999757558107,0.00977300014346838,-0.007329999934881926,0.005484472960233688,0.007471315562725067,0.010644219815731049,-0.03457222133874893,0.21963822841644287,0.004785003140568733,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10409,0,2919,91.25700378417969,6.762115955352783,7.245466232299805,-0.019142000004649162,0.0,0.00977300014346838,-0.0048859999515116215,-0.02210923843085766,-0.052298400551080704,-0.03695753589272499,0.01781553402543068,-0.08020571619272232,0.004786001518368721,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10419,0,2919,91.25499725341797,6.738187789916992,7.192823886871338,-0.01435600034892559,0.0,0.00977300014346838,0.0024429999757558107,-0.014825885184109211,-0.03577090799808502,-0.01738818921148777,0.0030321888625621796,0.022634070366621017,0.004786001518368721,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10429,0,2919,91.25800323486328,6.843472003936768,7.16411018371582,-0.009571000002324581,-0.0024429999757558107,0.00977300014346838,0.0048859999515116215,-0.009946205653250217,-0.024609096348285675,-0.0026856479234993458,-0.006885352078825235,0.015184463933110237,0.004785000346601009,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10439,0,2919,91.25700378417969,6.814757823944092,7.149753093719482,-0.01435600034892559,0.0,0.00977300014346838,0.0048859999515116215,-0.006676298100501299,-0.01702697202563286,-0.0008129514753818512,-0.013543049804866314,0.010192430578172207,-0.004785000346601009,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10449,0,2919,91.26100158691406,6.824329853057861,7.1880388259887695,-0.02871299907565117,-0.0024429999757558107,0.00977300014346838,0.0024429999757558107,-0.10732022672891617,-0.2344619631767273,-0.20540182292461395,0.17668882012367249,-0.2912490963935852,-0.014356997795403004,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10459,0,2919,91.25700378417969,6.776473045349121,7.178466796875,-0.009571000002324581,-0.0024429999757558107,0.00977300014346838,0.0024429999757558107,-0.07183995097875595,-0.15463995933532715,-0.11462567746639252,0.10505467653274536,0.10967510938644409,0.01914200186729431,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
